###ÄNSI
1910000={
	name="Gastón"
	dynasty=1912065 # del Caballero
	father=1910001
	martial=10
	diplomacy=6
	stewardship=7
	intrigue=10
	learning=6
	culture=mediterranean
	religion=cetic #sacred_heart
	trait=hunter
	trait=strong
	trait=fair
	trait=distractible
	trait=gregarious
	trait=proud
	trait=arbitrary
	trait=ambitious
	trait=lustful
	trait=inspiring_leader
	trait=tough_soldier
	trait=imp_ex2
	trait=sympathy_cult_of_saints
	trait=way_fist
	2642.4.17={birth=yes
		culture=californiano
	}
	2724.3.1={death=yes}
}

1910001={
	name="Baltasar"
	dynasty=1912065 # del Caballero
	father=1910002
	martial=6
	diplomacy=6
	stewardship=9
	intrigue=13
	learning=10
	culture=mediterranean
	religion=cetic #sacred_heart
	trait=falconer
	trait=strong
	trait=patient
	trait=cynical
	trait=diligent
	trait=cruel
	trait=temperate
	trait=just
	trait=charitable
	trait=way_fist
	trait=imp_ex3
	trait=unyielding_leader
	trait=elusive_shadow
	2611.6.20={birth=yes
		culture=californiano
	}
	2662.5.12={death=yes}
}

1910002={
	name="Esteban"
	dynasty=1912065 # del Caballero
	martial=10
	diplomacy=8
	stewardship=9
	intrigue=9
	learning=10
	culture=mediterranean
	religion=cetic #sacred_heart
	trait=duelist
	trait=strong
	trait=fair
	trait=ambitious
	trait=kind
	trait=brave
	trait=quick
	trait=just
	trait=charitable
	trait=organizer
	trait=imp_ex3
	trait=way_fist
	trait=aggressive_leader
	trait=brilliant_strategist
	2558.1.19={birth=yes
		culture=californiano
	}
	2630.9.5={death=yes}
}

1910003={
	name="Mariano"
	dynasty=1912050 # Allende
	martial=9
	diplomacy=6
	stewardship=7
	intrigue=5
	learning=6
	culture=californiano
	religion=cetic #sacred_heart
	trait=hunter
	trait=strong
	trait=honest
	trait=wroth
	trait=greedy
	trait=lustful
	trait=gluttonous
	trait=brave
	trait=organizer
	trait=imp_ex2
	trait=way_fist
	trait=flanker
	trait=skilled_tactician
	2623.3.15={birth=yes}
	2640.5.19={add_spouse=14400018}
	2684.1.11={death=yes}
}

1910004={
	name="Victor"
	dynasty=1912050 # Allende
	father=1910003
	martial=6
	diplomacy=9
	stewardship=8
	intrigue=8
	learning=8
	culture=californiano
	religion=cetic #sacred_heart
	trait=musician
	trait=strong
	trait=diligent
	trait=patient
	trait=charitable
	trait=lustful
	trait=fair
	trait=quick
	trait=organizer
	trait=way_dove
	trait=gregarious
	trait=fortune_builder
	2647.10.11={birth=yes}
	2730.1.30={death=yes}
}

1910005={
	name="Bella"
	female=yes
	dynasty=1912050 # Allende
	father=1910003
	martial=5
	diplomacy=9
	stewardship=7
	intrigue=8
	learning=9
	culture=californiano
	religion=cetic #sacred_heart
	trait=scholar
	trait=diligent
	trait=erudite
	trait=charitable
	trait=shy
	trait=fair
	trait=quick
	trait=kind
	trait=way_dove
	trait=charismatic_negotiator
	2651.5.17={birth=yes}
	2739.6.30={death=yes}
}

1910006={
	name="Jhon"
	dynasty=1912031 # Ferrandes
	martial=6
	diplomacy=7
	stewardship=6
	intrigue=8
	learning=6
	culture=californiano
	religion=cetic #sacred_heart
	trait=mystic
	trait=deceitful
	trait=cruel
	trait=paranoid
	trait=shy
	trait=temperate
	trait=patient
	trait=craven
	trait=imp_ex1
	trait=way_cowl
	trait=intricate_webweaver
	2639.7.10={birth=yes}
	2725.1.11={death=yes}
}

1910007={
	name="Toño"
	dynasty=1912004 # de Laciana
	martial=7
	diplomacy=7
	stewardship=6
	intrigue=5
	learning=5
	culture=californiano
	religion=cetic #sacred_heart
	trait=hedonist
	trait=ambitious
	trait=wroth
	trait=envious
	trait=strong
	trait=lustful
	trait=proud
	trait=imp_ex2
	trait=brave
	trait=indulgent_wastrel
	trait=heavy_infantry_leader
	2635.6.4={birth=yes}
	2700.1.11={death=yes}
}

1910008={
	name="Salvador"
	dynasty=1912033 # Vallejo
	martial=6
	diplomacy=8
	stewardship=6
	intrigue=8
	learning=9
	culture=californiano
	religion=cetic #sacred_heart
	trait=scholar
	trait=shy
	trait=kind
	trait=just
	trait=humble
	trait=trusting
	trait=patient
	trait=temperate
	trait=imp_ex3
	trait=content
	trait=way_dove
	trait=charismatic_negotiator
	2640.12.25={birth=yes}
	2700.1.11={death=yes}
}

1910009={
	name="Kaleb"
	dynasty=1912019 # de Fonpical
	martial=9
	diplomacy=6
	stewardship=5
	intrigue=7
	learning=5
	culture=californiano
	religion=cetic #sacred_heart
	trait=duelist
	trait=gregarious
	trait=drunkard
	trait=just
	trait=stressed
	trait=zealous
	trait=patient
	trait=quick
	trait=way_fist
	trait=imp_ex2
	trait=brilliant_strategist
	trait=holy_warrior
	trait=organizer
	trait=siege_leader
	2636.7.20={birth=yes}
	2700.1.11={death=yes}
}

1910010={
	name="Danilo"
	dynasty=1913004 # Yuk
	martial=5
	diplomacy=4
	stewardship=8
	intrigue=7
	learning=9
	culture=chino
	religion=cetic
	trait=marian_santa_muerte
	trait=hedonist
	trait=greedy
	trait=deceitful
	trait=arbitrary
	trait=paranoid
	trait=lustful
	trait=cruel
	trait=diligent
	trait=infirm
	trait=craven
	trait=midas_touched
	trait=imp_ex2
	2567.9.13={birth=yes}
	2660.12.1={death={
			death_reason=death_murder_unknown
		}
	}
}

1910011={
	name="Chang-Lin"
	dynasty=1913004 # Yuk
	father=1910010
	martial=8
	diplomacy=6
	stewardship=5
	intrigue=6
	learning=6
	culture=chino
	religion=cetic
	trait=impaler
	trait=greedy
	trait=brave
