###########Empires/Kingdoms/Duchies/Counties/Baronies###########

PROV802;Cuauhtémoc;;;;;;;;;x
PROV804;Casas Grandes;;;;;;;;;x
PROV805;Barrancas del Cobre;;;;;;;;;x
PROV807;Guadiana;;;;;;;;;x
PROV809;Papasquiaro;;;;;;;;;x
PROV818;El Potosí;;;;;;;;;x
PROV819;El Pilón;;;;;;;;;x
PROV984;Azueta;;;;;;;;;x
PROV1740;Atemajac;;;;;;;;;x
PROV1753;Paricutín;;;;;;;;;x
PROV1755;Aquila;;;;;;;;;x
PROV1756;Los Llanitos;;;;;;;;;x
PROV1758;Apatzingán;;;;;;;;;x
PROV1759;Tejupilco;;;;;;;;;x
PROV1761;Pungarabato;;;;;;;;;x
PROV1763;Sierra Hidalguense;;;;;;;;;x
PROV1765;Atlacomulco;;;;;;;;;x
PROV1766;Naucalpan;;;;;;;;;x
PROV1767;México;;;;;;;;;x
PROV1773;Sierra Norte;;;;;;;;;x
PROV1776;Huejutla;;;;;;;;;x
PROV1777;Totonacapan;;;;;;;;;x
PROV1779;Sotavento;;;;;;;;;x
PROV1792;Sierra Gorda;;;;;;;;;x
PROV1794;Mitla;;;;;;;;;x
PROV1797;Achiutla;;;;;;;;;x
PROV1806;Los Libres;;;;;;;;;x
PROV1821;La Chontalpa;;;;;;;;;x
PROV1823;Kejache;;;;;;;;;x
PROV1834;Fronteriza;;;;;;;;;x
PROV1836;Nezahualcoyotl;;;;;;;;;x
PROV1837;Valles Zoque;;;;;;;;;x
PROV1840;La Frailesca;;;;;;;;;x
PROV1845;Esquipulas;;;;;;;;;x
PROV1854;León;;;;;;;;;x
PROV1856;Valle de Sula;;;;;;;;;x
PROV1857;Atlántida;;;;;;;;;x
PROV1865;Plátano;;;;;;;;;x
PROV1866;Gracias a Dios;;;;;;;;;x
PROV1868;Bilwi;;;;;;;;;x
PROV1886;San José;;;;;;;;;x
PROV1887;Brunca;;;;;;;;;x

PROV1100;La Habana;;;;;;;;;x
