#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

###########Titles###########


###############MESOAMERICAN###################

#All credit for Nahua titles go to /u/Polokotsin
emperor_nahua;Tlajtoani;;;;;;;;;x
emperor_female_nahua;Siuatlajtoani;;;;;;;;;x
empire_of_nahua;Ueyitlajtokayotl of;;;;;;;;;;;;;x
empire_nahua;Ueyitlajtokayotl;;;;;;;;;;;;;x
king_nahua;Ueyitekiuajketl;;;;;;;;;x
king_female_nahua;Ueyisiuatekiuajketl;;;;;;;;;x
kingdom_of_nahua;Ueyitekiuajyotl of;;;;;;;;;;;;;x
kingdom_nahua;Ueyitekiuajyotl;;;;;;;;;;;;;x
duke_nahua;Tekiuaj;;;;;;;;;x
duke_female_nahua;Siuatekiuaj;;;;;;;;;x
duchy_of_nahua;Tekiuajyotl of;;;;;;;;;;;;;x
duchy_nahua;Tekiuajyotl;;;;;;;;;;;;;x
count_nahua;Tlayekanketl;;;;;;;;;x
count_female_nahua;Siuatlayekanketl;;;;;;;;;x
county_of_nahua;Ueyikalpan of;;;;;;;;;;;;;x
county_nahua;Ueyikalpan;;;;;;;;;;;;;x
baron_nahua;Topilejketl;;;;;;;;x
baron_female_nahua;Siuatopilejketl;;;;;;;;;x
barony_of_nahua;Kalpan of;;;;;;;;;;;;;x
barony_nahua;Kalpan;;;;;;;;;;;;;x

emperor_zapotec;Xaiquendxó';;;;;;;;;x
emperor_female_zapotec;Xunaxhidó';;;;;;;;;x
empire_of_zapotec;Guidxindxó of;;;;;;;;;;;;;x
empire_zapotec;Guidxindxó;;;;;;;;;;;;;x
king_zapotec;Xaique;;;;;;;;;x
king_female_zapotec;Xunaxhi;;;;;;;;;x
kingdom_of_zapotec;Guidxi of;;;;;;;;;;;;;x
kingdom_zapotec;Guidxi;;;;;;;;;;;;;x
duke_zapotec;Xhuaana;;;;;;;;;x
duke_female_zapotec;Xhuaana;;;;;;;;;x
duchy_of_zapotec;Xquidxinu of;;;;;;;;;;;;;x
duchy_zapotec;Xquidxinu;;;;;;;;;;;;;x
count_zapotec;Gulaba;;;;;;;;;x
count_female_zapotec;Gulaba;;;;;;;;;x
county_of_zapotec;Guidxiroo' of;;;;;;;;;;;;;x
county_zapotec;Guidxiroo';;;;;;;;;;;;;x
baron_zapotec;Xiaga;;;;;;;;;x
baron_female_zapotec;Xiaga;;;;;;;;;x
barony_of_zapotec;Guidxihuiini of;;;;;;;;;;;;;x
barony_zapotec;Guidxihuiini;;;;;;;;;;;;;x

emperor_mixtec;Iya Tátnuni;;;;;;;;;x #Divine ruler
emperor_female_mixtec;Iya Si'i Tátnuni;;;;;;;;;x
empire_of_mixtec;Ñuu ii of;;;;;;;;;;;;;x #Blessed nation
empire_mixtec;Ñuu ii;;;;;;;;;;;;;x
king_mixtec;Tee Tátnuni;;;;;;;;;x #King
king_female_mixtec;Ña'a Tátnuni;;;;;;;;;x #Queen
kingdom_of_mixtec;Yuu teyu of;;;;;;;;;;;;;x #bedmat-seat. Historical name implying pairing between two or more lordships
kingdom_mixtec;Yuu teyu;;;;;;;;;;;;;x
duke_mixtec;Xini;;;;;;;;;x #Literally head, used sometimes as Cacique
duke_female_mixtec;Xini;;;;;;;;;x
duchy_of_mixtec;Ñuu teyu of;;;;;;;;;;;;;x # Town/nation/people + seat
duchy_mixtec;Ñuu teyu;;;;;;;;;;;;;x
count_mixtec;Tee Kúu Ja'nu;;;;;;;;;x #Municipal President
count_female_mixtec;Ña'a Kúu Ja'nu;;;;;;;;;x
county_of_mixtec;Ñuu ka'nu of;;;;;;;;;;;;;x #Big town/city/municipality
county_mixtec;Ñuu ka'nu;;;;;;;;;;;;;x
baron_mixtec;Ndaj'a;;;;;;;;;x #Topil, sort of like a sheriff (literally translated hands and feet)
baron_female_mixtec;Ndaja'a;;;;;;;;;x
barony_of_mixtec;Ñuu of;;;;;;;;;;;;;x #Town
barony_mixtec;Ñuu;;;;;;;;;;;;;x
city_baron_mixtec;Xejidori;;;;;;;;;;;;;x
city_baron_female_mixtec;Xejidori;;;;;;;;;;;;;x
city_duke_mixtec;Joviernu;;;;;;;;;;;;;x
city_duke_female_mixtec;Joviernu;;;;;;;;;;;;;x
city_king_mixtec;Presidende;;;;;;;;;;;;;x
city_king_female_mixtec;Presidende;;;;;;;;;;;;;x
job_spiritual_mixtec;Sutu;;;;;;;;;;;;;x #Priest

emperor_purepecha;Camáhchacupeti;;;;;;;;;x #Governor General/Emperor
emperor_female_purepecha;Camáhchacupeti;;;;;;;;;x #Don't know how to change to female
empire_of_purepecha;Camácaten of;;;;;;;;;;;;;x
empire_purepecha;Camácaten;;;;;;;;;;;;;x #General Governorship (could be synonymous with Empire)
king_purepecha;Irécha;;;;;;;;;x #King
king_female_purepecha;Ireri;;;;;;;;;x #Queen
kingdom_of_purepecha;Iréchekwa;;;;;;;;;;;;;x
kingdom_purepecha;Iréchekwa;;;;;;;;;;;;;x #Kingdom
duke_purepecha;Jurámuti;;;;;;;;;x
duke_female_purepecha;Jurámuti;;;;;;;;;x #Jefe
duchy_purepecha;Terungambo;;;;;;;;;;;;;x
duchy_of_purepecha;Terungambo of;;;;;;;;;;;;;x #Capital city or important nortenon
count_purepecha;Alcandi;;;;;;;;;x
count_female_purepecha;Alcandi;;;;;;;;;x #Alcalde
county_purepecha;Ireta K'eri;;;;;;;;;;;;;x
county_of_purepecha;Ireta K'eri;;;;;;;;;;;;;x #Big/important City
baron_purepecha;T'eroncheti;;;;;;;;x #Community Leader
baron_female_purepecha;T'eroncheti;;;;;;;;;x #Don't know how to change to female
barony_purepecha;Ireta;;;;;;;;;;;;;x #City/town
barony_of_purepecha;Ireta of;;;;;;;;;;;;;x
job_spiritual_purepecha;Petámuti;;;;;;;;;;;;;x

# city_baron_mesoamerican;Corregidor;;;;;;;;;;;;;x
# city_baron_female_mesoamerican;Corregidora;;;;;;;;;;;;;x
# city_barony_mesoamerican;Comunidad;;;;;;;;;;;;;x
# city_barony_of_mesoamerican;Comunidad de;;;;;;;;;;;;;x
# city_count_mesoamerican;Comisario;;;;;;;;;;;;;x
# city_count_female_mesoamerican;Comisaria;;;;;;;;;;;;;x
# city_county_mesoamerican;Comisariado;;;;;;;;;;;;;x 
# city_county_of_mesoamerican;Comisariado de;;;;;;;;;;;;;x
# city_duke_mesoamerican;Coordinador;;;;;;;;;;;;;x
# city_duke_female_mesoamerican;Coordinadora;;;;;;;;;;;;;x
# city_duchy_mesoamerican;República Indígena;;;;;;;;;;;;;x
# city_duchy_of_mesoamerican;República Indígena de;;;;;;;;;;;;;x
