#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#All credit for Nahua titles go to Polokotsin

rise_of_consumerism;Rise of Consumerism;;;;;;;;;;;;;x
sayyid;Heir of the Prophet;;;;;;;;;;;;;x
sayyid_desc;This character is patrilineally descended from the founder of Consumerism.;;;;;;;;;;;;;x
investor;Investor;;;;;;;;;;;;;x
investor_desc;This character is descended from one of the Investors, the nine companions of the Prophet of Consumerism.;;;;;;;;;;;;;x
mirza;Descendant of the Prophet;;;;;;;;;;;;;;;;x
mirza_desc;This character is matrilineally descended from the founder of Consumerism.;;;;;;;;;;;;;x
confederated;Confederated;;;;;;;;;;;;;x
confederated_DESC;The Confederated Church of Canada was formed from the unification of the Anglican Church and the Ursuline See. The head of the Church is the Prime Minister, who also serves as an advisor to the Emperor of Canada.;;;;;;;;;;;;;x
CB_NAME_KINGDOM_ADVENTURE;Viceroy's Adventure;;;;;;;;;;;;;x
WAR_KINGDOM_ADVENTURE;$ORDER$Viceroy Adventure War;;;;;;;;;;;;;x
hijolly_adventure_desc;On account of holy revelation, the Viceroy has declared there to be great oppression and persecution afar, and seeing such, has marched with intent to liberate.;;;;;;;;;;;;;x
GUBYERNATOR;Gubyernator;;;;;;;;;;;;;x
MAJOR_GENERAL;Major General;Major General;Major General;;Major General;;;;;;;;;x
MAJOR_GENERAL_FOA;Commander;Commander;Commander;;Commander;;;;;;;;;x
baron_acadien;Chevalier;;;;;;;;;x
baron_americanist;Sergeant;;;;;;;;;;;;;x
baron_hamiltonian;Sergeant;;;;;;;;;;;;;x
baron_jeffersonian;Sergeant;;;;;;;;;;;;;x
baron_libertarian;Sergeant;;;;;;;;;;;;;x
baron_andino;Patrón;;;;;;;;;;;;;x
baron_antillais;Bawon;;;;;;;;;;;;;x
baron_brethren;Lieutenant;;;;;;;;;;;;;x
baron_britannic;Viscount;;;;;;;;;;;;;x
baron_canuck;Viscount;;;;;;;;;;;;;x
baron_caribbanglo;Viscount;;;;;;;;;;;;;x
baron_caribeno;Patrón;;;;;;;;;;;;;x
baron_centrolatino;Patrón;;;;;;;;;;;;;x
baron_chicano;Hidalgo;;;;;;;;;;;;;x
baron_consumerist;Supervisor;;;;;;;;;;;;;x
baron_costero;Patrón;;;;;;;;;;;;;x
baron_edokko;Danshaku;;;;;;;;;;;;;x
baron_gaian;Forester;;;;;;;;;;;;;x
baron_female_acadien;Chevalière;;;;;;;;;x
baron_dixie;Sir;;;;;;;;;x
count_dixie;Esquire;;;;;;;;;x
duke_dixie;Colonel;;;;;;;;;x
king_dixie;Grand Prince;;;;;;;;;x
baron_female_dixie;Lady;;;;;;;;;x
count_female_dixie;Esquire;;;;;;;;;x
duke_female_dixie;Madam;;;;;;;;;x
king_female_dixie;Grand Duchess;;;;;;;;;x
city_baron_dixie;Burgher;;;;;;;;;x
city_count_dixie;Alderman;;;;;;;;;x
city_duke_dixie;Councilman;;;;;;;;;x
city_baron_female_dixie;Burgher;;;;;;;;;x
city_count_female_dixie;Alderwoman;;;;;;;;;x
city_duke_female_dixie;Councilwoman;;;;;;;;;x
baron_female_americanist;Sergeant;;;;;;;;;;;;;x
baron_female_hamiltonian;Sergeant;;;;;;;;;;;;;x
baron_female_jeffersonian;Sergeant;;;;;;;;;;;;;x
baron_female_libertarian;Sergeant;;;;;;;;;;;;;x
baron_female_andino;Patrona;;;;;;;;;;;;;x
baron_female_brethren;Lieutenant;;;;;;;;;;;;;x
baron_female_britannic;Viscountess;;;;;;;;;;;;;x
baron_female_canuck;Viscountess;;;;;;;;;;;;;x
baron_female_caribbanglo;Viscountess;;;;;;;;;;;;;x
baron_female_caribeno;Patrona;;;;;;;;;;;;;x
baron_female_centrolatino;Patrona;;;;;;;;;;;;;x
baron_female_chicano;Hidalga;;;;;;;;;;;;;x
baron_female_consumerist;Supervisor;;;;;;;;;;;;;x
baron_female_costero;Patrona;;;;;;;;;;;;;x
baron_female_edokko;Danshaku-fujin;;;;;;;;;;;;;x
baron_female_gaian;Forester;;;;;;;;;;;;;x
baron_female_gothamite;Patrooness;;;;;;;;;;;;;x
baron_female_hudsonian;Patrooness;;;;;;;;;;;;;x
baron_female_mayan;Ix Tupil;;;;;;;;;;;;;x
baron_female_metis;Tipayhtum;;;;;;;;;;;;;x
baron_female_mexicano;Hidalga;;;;;;;;;;;;;x
baron_female_mikmaq;Autmoin;;;;;;;;;x
baron_female_mixtec;Ndaja'a;;Ndaja'a;;;Ndaja'a;;;Ndaja'a;;;;;;;;;;x
baron_female_nahua;Siuatopilejketl;Siuatopilejketl;Siuatopilejketl;;Siuatopilejketl;;;;;;;;;x
baron_female_raramuri;Kapitani;Kapitani;Kapitani;;Kapitani;;;;;;;;;x
baron_female_ontarian;Viscountess;;;;;;;;;;;;;x
baron_female_orinocense;Patrona;;;;;;;;;;;;;x
