###ÄNSI###

#Tolerance Laws
culture_tolerance;Cultural Tolerance Laws;;;;;;;;;;;;;x
culture_tolerance_desc;These laws effect treatment and tolerance between different cultures in the realm.;;;;;;;;;;;;;x
culture_tolerance_0;Cultural Autonomy;;;;;;;;;;;;;x
culture_tolerance_0_option;Auto.;;;;;;;;;;;;;x
culture_tolerance_0_desc;Cultural differences are not important between members of the court, and provinces will not adopt your culture;;;;;;;;;;;;;x
culture_tolerance_1;Normal;;;;;;;;;;;;;x
culture_tolerance_1_option;Normal;;;;;;;;;;;;;x
culture_tolerance_1_desc;The standard treatment.;;;;;;;;;;;;;x
culture_tolerance_2;Assimilationist;;;;;;;;;;;;;x
culture_tolerance_2_option;Assim.;;;;;;;;;;;;;x
culture_tolerance_2_desc;Provinces are encouraged to adopt your culture.;;;;;;;;;;;;;x
religion_tolerance;Religious Tolerance Laws;;;;;;;;;;;;;x
religion_tolerance_desc;These laws effect treatment and tolerance between different religions in the realm.;;;;;;;;;;;;;x
religion_tolerance_0;Pacifist;;;;;;;;;;;;;x
religion_tolerance_0_option;Pac.;;;;;;;;;;;;;x
religion_tolerance_0_desc;Religious differences are not important between members of the court, and provinces will not be converted by a chaplain. Holy wars are prohibited.;;;;;;;;;;;;;x
religion_tolerance_1;Tolerant;;;;;;;;;;;;;x
religion_tolerance_1_option;Toler.;;;;;;;;;;;;;x
religion_tolerance_1_desc;Religious difference are less important, and conversions by a Chaplain are slower. Holy wars vassalize those of different religions rather than revoking.;;;;;;;;;;;;;x
religion_tolerance_2;Normal;;;;;;;;;;;;;x
religion_tolerance_2_option;Normal;;;;;;;;;;;;;x
religion_tolerance_2_desc;The standard treatment.;;;;;;;;;;;;;x
religion_tolerance_3;Dogmatic;;;;;;;;;;;;;x
religion_tolerance_3_option;Dogma.;;;;;;;;;;;;;x
religion_tolerance_3_desc;Harsher attitudes towards those of different religions, and increased fervor in conversion.;;;;;;;;;;;;;x
religion_tolerance_4;Inquisitional;;;;;;;;;;;;;x
religion_tolerance_4_option;Inquis.;;;;;;;;;;;;;x
religion_tolerance_4_desc;Harsher attitudes towards those of different religions, and increased fervor in conversion.;;;;;;;;;;;;;x
pacifist_province;Pacifist;;;;;;;;;;;;;x
tolerant_province;Tolerant;;;;;;;;;;;;;x
dogmatic_province;Dogmatic;;;;;;;;;;;;;x
inquisitional_province;Inquisitional;;;;;;;;;;;;;x
autonomous_province;Autonomous;;;;;;;;;;;;;x
assimilimationist_province;Assimilationist;;;;;;;;;;;;;x

