#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#this was encoded in UTF-8

jadidi;Jadidi;Jadidist;Jadidi;;Jadidi;;;;;;;;;x
jadidi_desc;This character is an adherent of the Jadidist (Renewal) school of Imamite Philosophy;;;;;;;;;;;;;x
ansari;Ansari;Ansarite;Ansari;;Ansari;;;;;;;;;x
ansari_desc;This character is an adherent of the Ansarite (Traditional) school of Imamite philosophy;;;;;;;;;;;;;x
EVTTOOLTIP_MSI_00;You embrace the Jadidi school of theology.;Vous vous joignez à l'école théologique Jadidi.;Ihr verschreibt Euch der Denkweise der Jadidi.;;Abrazáis la escuela teológica Mu'tazili.;;;;;;;;;x
EVTDESC_MSI_00;The Jadidi school of theology holds that any fatwa on fiqh is valid as long as the Imam is competent and uses reason to judge. The Jadidi rose as a reaction to the downfall of house Abbas.;;;;;;;;;;;;;x
EVTOPTA_MSI_00;This is the right path.;C'est la bonne voie.;Dies ist der rechte Pfad.;;Este es el camino correcto.;;;;;;;;;x
EVTTOOLTIP_MSI_01;You embrace the Ansari school of theology.;Vous vous joignez à l'école théologique Ansarite.;Ihr verschreibt Euch der Denkweise der Ansari.;;Abrazáis la escuela teológica Ansari.;;;;;;;;;x
EVTDESC_MSI_01;The Ansari school of theology holds that fatwa from the Majlis must remain grounded on prior tradition. They hold that the Imam is determined by God alone, and that God indeed is the best of planners. The Ansari school rose as a reaction to the rise of Jadidist thought.;;;;;;;;;;;;;x
embrace_jadidi;Embrace the Jadidi School;Rejoindre l'école Jadidi;Verschreibt Euch den Jadidi;;Abrazar la escuela Jadidi;;;;;;;;;x
embrace_jadidi_desc;You embrace the Jadidi school of theology.;;;;;;;;;;;;;x
embrace_ansari;Embrace the Ansari School;Rejoindre l'école Salimite;Verschreibt Euch der Ansari;;Abrazar la escuela Ansari;;;;;;;;;x
embrace_ansari_desc;You embrace the Ansari school of theology.;;;;;;;;;;;;;x
opinion_rejected_school;Rejected School;École rejetée;Lehnte diese Schule ab;;Escuela rechazada;;;;;;;;;x
EVTDESC_MSI_03;[From.GetTitledFirstName] is a follower of the Jadidi school of theology.;;;;;;;;;;;;;x
EVTOPTA_MSI_03;Yes.;;;;;;;;;;;;;x
EVTOPTB_MSI_03;No.;;;;;;;;;;;;;x
EVTTOOLTIP_MSI_04;You ask your vassal to switch theological school.;Vous demandez à votre vassal de changer d'école théologique.;Ihr bittet Euren Vasallen darum;;;;;;;;;;;x
EVTDESC_MSI_04;It has come to my attention that you're a follower of the misguided Jadidi school. Their tenets and philosophies are an affront to God and the sunnah of the Prophet (peace be upon him). I urge you instead to embrace the Ansari doctrine.\n\nSigned;;;;;;;;;;;;;x
EVTOPTA_MSI_04;Yes.;;;;;;;;;;;;;x
EVTOPTB_MSI_04;Never!;Jamais !;Niemals!;;¡Nunca!;;;;;;;;;x
EVTTOOLTIP_MSI_05;You send word that you agree to adopt the Ansari school.;Vous faites savoir que vous acceptez de suivre les principes Salimites.;Ihr lasst verlauten;;;;;;;;;;;x
EVTDESC_MSI_05;As always.;;;;;;;;;;;;;x
EVTOPTA_MSI_05;A wise choice.;Un choix judicieux.;Eine weise Entscheidung.;;Una elección sabia.;;;;;;;;;x
EVTTOOLTIP_MSI_06;You send word that you refuse to adopt the Ansari school.;Vous faites savoir que vous refusez de suivre les principes Salimites.;Ihr lasst mitteilen;;;;;;;;;;;x
EVTDESC_MSI_06;You may be my liege in the mortal world.;;;;;;;;;;;;;x
EVTOPTA_MSI_06;That impudent...!;Quelle impudence...;Unverschämtheit...!;;¡Qué imprudente!;;;;;;;;;x
EVTDESC_MSI_11;[From.GetTitledFirstName] is a follower of the Ansari school of theology.;;;;;;;;;;;;;x
EVTOPTA_MSI_11;Yes.;;;;;;;;;;;;;x
EVTOPTB_MSI_11;No.;;;;;;;;;;;;;x
EVTTOOLTIP_MSI_12;You ask your vassal to switch theological school.;Vous demandez à votre vassal de changer d'école théologique.;Ihr bittet Euren Vasallen darum;;;;;;;;;;;x
EVTDESC_MSI_12;It has come to my attention that you're a follower of the misguided Ansari school. Their tenets and philosophies are incompatible with the conditions of the world, and hold us back needlessly. I urge you instead to embrace the Jadidi doctrine.\n\nSigned;;;;;;;;;;;;;x
EVTOPTA_MSI_12;Yes.;;;;;;;;;;;;;x
EVTOPTB_MSI_12;Never!;Jamais !;Niemals!;;¡Nunca!;;;;;;;;;x
EVTTOOLTIP_MSI_13;You send word that you agree to adopt the Jadidi school.;Vous faites savoir que vous acceptez de suivre les principes Muntaqiyuns.;Ihr lasst verlauten;;;;;;;;;;;x
EVTDESC_MSI_13;As always.;;;;;;;;;;;;;x
EVTOPTA_MSI_13;A wise choice.;Un choix judicieux.;Eine weise Entscheidung.;;Una elección sabia.;;;;;;;;;x
EVTTOOLTIP_MSI_14;You send word that you refuse to adopt the Jadidi school.;Vous faites savoir que vous refusez de suivre les principes Muntaqiyuns.;Ihr lasst mitteilen;;;;;;;;;;;x
EVTDESC_MSI_14;You may be my liege in the mortal world.;;;;;;;;;;;;;x
EVTOPTA_MSI_14;That impudent...!;Quelle impudence !;Unverschämtheit...!;;¡Qué imprudente!;;;;;;;;;x
EVTDESC_MSI_20;Given your cynical nature, you are beginning to doubt whether the Ansari school is truly right for you.;;;;;;;;;;;;;x
EVTOPTA_MSI_20;Perhaps I have been walking the wrong path...;J'ai peut-être choisi la mauvaise voie...;Vielleicht wandelte ich bislang auf Irrwegen...;;Quizá haya tomado el camino equivocado…;;;;;;;;;x
EVTOPTB_MSI_20;No! I must purge my mind of such heretical thoughts.;Non;;;;;;;;;;;;x
EVTDESC_MSI_21;Given your zealous nature, you are beginning to doubt whether the Jadidi school is truly right for you.;;;;;;;;;;;;;x
EVTOPTB_MSI_21;No! I must purge my mind of such misguided notions.;Non;;;;;;;;;;;;x
EVTDESC_MSI_4950;After spending some time talking with [From.GetTitledFirstName], I have provided enough spiritual guidance to free [From.GetHerHim] of [From.GetHerHis] sinful ways.;J'ai fourni suffisamment de conseils spirituels [From.Get_au_TitledFirstName] pour [From.GetLeLa] libérer de ses mauvais penchants.;Nachdem ich einige Zeit mit [From.GetTitledFirstName] gesprochen habe, habe ich genug spirituelle Weisung erteilt, um [From.GetTitledFirstName] von [From.GetHerHis]em sündigen Lebenswandel abzubringen.;;Tras haber hablado un buen rato con [From.GetTitledFirstName], mi orientación espiritual hará que abandone sus costumbres pecaminosas.;;;;;;;;;x
EVTDESC_MSI_4951;After spending some time talking with [FromFrom.GetTitledFirstName], I have realized the errors of my ways and freed myself of my sinful ways.;J'ai réalisé en parlant avec [FromFrom.Get_le_TitledFirstName] que mon comportement était fautif et me suis libéré[Root.Get_E] de mes mauvais penchants.;Nachdem ich einige Zeit mit [FromFrom.GetTitledFirstName] gesprochen habe, habe ich die Fehler meines Lebenswandels eingesehen und von meinem sündigen Lebenswandel abgelassen.;;Tras haber hablado un buen rato con [FromFrom.GetTitledFirstName], he reconocido mis errores y me he liberado de mis costumbres pecaminosas.;;;;;;;;;x
EVTDESC_MSI_4952;Throughout our history, we have protected the household of the Prophet. We stand firm with our Imams. As Imam Ali said ''A man's measure is his will.'';;;;;;;;;;;;;
EVTOPTA_MSI_4952;We will protect our Imams!;;;;;;;;;;;;;
EVTDESC_MSI_4953;The words and wisdom of the Prophet flows through his descendant. We must learn and preserve their teachings so that the future generation may benefit. As Imam Ali said ''To make one good action succeed another, is the perfection of goodness'';;;;;;;;;;;;;
EVTOPTA_MSI_4953;Preserve the holy teachings of our Prophet and Imams!;;;;;;;;;;;;;
become_defenders_of_the_faith;Become a Defender of the Faith;;;;;;;;;;;;;
become_defenders_of_the_faith_desc;Train hard to protect your faith.;;;;;;;;;;;;;
become_renewers_of_the_faith;Become a Scholar of the Faith;;;;;;;;;;;;;
become_renewers_of_the_faith_desc;Study the teachings of the holy Prophet.;;;;;;;;;;;;;
defenders_of_the_faith;Defender of the Faith;;;;;;;;;;;;;
renewers_of_the_faith;Renewer of the Faith;;;;;;;;;;;;;
EVTTOOLTIP_MSI_4952;Defend the faith with the sword.;;;;;;;;;;;;;
EVTTOOLTIP_MSI_4953;Renew the faith with the pen.;;;;;;;;;;;;;
