###ÄNSI
#Oklahoma Titles
UKU;Uku;;;;;;;;;;;;;x

k_redland_adj;Oklahoman;;;;;;;;;;;;;x
k_redland;Oklahoma;;;;;;;;;;;;;x
k_nundagunyi;Nundagunyi;;;;;;;;;;;;;x
k_nundagunyi_adj;Nundagunyi;;;;;;;;;;;;;x
e_oklahoman;Oklahoman Empire;;;;;;;;;;;;;x
e_oklahoman_adj;Oklahoman;;;;;;;;;;;;;x
e_tsalagi;Tsalagi Ayeli;;;;;;;;;;;;;x
e_tsalagi_adj;Tsalagi Ayelian;;;;;;;;;;;;;x
d_itseyi;Itseyi;;;;;;;;;;;;;x
d_itseyi_adj;Itseyi;;;;;;;;;;;;;x
d_light_horse_exiles;The Light Horse Exiles;;;;;;;;;;;;;x
d_light_horse_exiles_adj;Light Horse;;;;;;;;;;;;;x
d_uku;Uku;;;;;;;;;;;;;x
uku_foa;Beloved One;;;;;;;;;;;;;x
c_oklahoma_adj;Okayseean;;;;;;;;;;;;;x
c_oklahoma;Okaysee;;;;;;;;;;;;;x
PROV325;Okaysee;;;;;;;;;;;;;x

form_oklahoma;Form Oklahoma;;;;;;;;;;;;;x
form_oklahoma_desc;Create the Kingdom of Oklahoma;;;;;;;;;;;;;x

oklahoman;Okie;;;;;;;;;;;;;x

restore_cherokee_homeland;Restore Cherokee Heartland;;;;;;;;;;;;;x
annex_bluegrass;Annex Bluegrass;;;;;;;;;;;;;x
annex_clinch;Annex Clinch;;;;;;;;;;;;;x
annex_cumberland;Annex Cumberland;;;;;;;;;;;;;x
annex_east_tennessee;Annex East Tennessee;;;;;;;;;;;;;x
annex_middle_tennessee;Annex Middle Tennessee;;;;;;;;;;;;;x
annex_santee;Annex Santee;;;;;;;;;;;;;x
annex_itseyi;Annex Itseyi;;;;;;;;;;;;;x
form_itseyi;Form the Duchy of Itseyi;;;;;;;;;;;;;x
summon_for_blood_oath;Blood Oath;;;;;;;;;;;;;x
summon_for_blood_oath_desc;Founded on the compromise of the Christian and Pagan Okies, a lord may demand certain obligations from one member of each dynasty in his realm.;;;;;;;;;;;;;x

##LAWS
cherokee_clan_authority;Clan Authority;;;;;;;;;;;;;x
cherokee_clan_authority_0;No Clans;;;;;;;;;;;;;x
cherokee_clan_authority_1;Restored Clans;;;;;;;;;;;;;x
cherokee_clan_authority_2;Increased Clan Authority;;;;;;;;;;;;;x


LANDRUN_WAR_CB_NAME;Land Run;;;;;;;;;;;;;x
WAR_NAME_LAND_RUN;Land Run;;;;;;;;;;;;;x
land_run_cb_desc;The ancient legends of the Okies speak of the right to claim new lands when one of their own have become full.;;;;;;;;;;;;;x
CB_NAME_WESTERN_TREATIES;Reclaim Western Treaties;;;;;;;;;;;;;x
WAR_NAME_WESTERN_TREATIES;Reclamation War;;;;;;;;;;;;;x

tulsa_center_world_1;The Center of the Universe;;;;;;;;;;;;;x
tulsa_center_world_1_desc;A strange pillar in Tulsa, topped with a metal cloud and decorated with bird-like shapes. When one stands at this spot, they hear their voice echo and return to them several times over. The locals have long taken this as evidence that the place is indeed the center of the universe;;;;;;;;;;;;;x

landmark_port_of_catoosa;Port Of Catoosa \n \n Further inland than any other seaport in America, the Port of Catoosa connects much of the western plains with the Mississippi River. Under the guidance of Uku Nanyehi II, the Cherokee returned it to operation in the 22nd century. Old legend has that it was home to blue whales before the Fall, and local rumor speaks of a monstrous leviathan living in the Arkansas River downstream.;;;;;;;;;;;;;x
okla_westfast;The Westfast;;;;;;;;;;;;;x
mason_spared;Spared Life;;;;;;;;;;;;;x
oklahoman_opinion;[oklahoman.GetName] Opinion;;;;;;;;;;;;;x

nick_daliksta;Daliksta;;;;;;;;;;;;;x
copperhead;John Copperhead's Blood;;;;;;;;;;;;;x
copperhead_desc;Taskigi Wadigeaskali was a Sequoyan warrior and mystic who conquered Okaysee in the Third New Crusade. He later perished leading the infamous Kituwah Expedition.;;;;;;;;;;;;;x

RETTYPE_CUL_CHEROKEE_UKU_1;Nighthawk Brotherhood;;;;;;;;;;;;;x
RETTYPE_CUL_CHEROKEE_UKU_2;Thunderbirds;;;;;;;;;;;;;x
RETTYPE_CUL_OKLAHOMA;Battle Wagons;;;;;;;;;;;;;x

four_thunders_sword;Four-Thunders;;;;;;;;;;;;;x
four_thunders_sword_desc;An ancient sword of the Cherokee, supposedly forged from the saber of Guwisguwi. Four-Thunders felled many foes of the Nation and the True Church in different hands, before being gifted to the warrior-mystic, John Copperhead. It was lost when he was slain in the failed Kitowah Expedition.;;;;;;;;;;;;;x
ulunsuti_crystal;Ulunsuti;;;;;;;;;;;;;x
ulunsuti_crystal_desc;According to Cherokee myth, the first Uktena was a horrible monster created to murder the Sun. After it failed this task, it went to haunt the high and lonely mountains, hateful and poisnous. In its forehead was the Ulunsuti, a crystal heart that could kill with light. Any man who could so manage to kill an Uktena and take the Ulunsuti would be blessed with fortune and farsight.;;;;;;;;;;;;;x
whirlwind_crown;Whirlwind Coronet;;;;;;;;;;;;;x
whirlwind_crown_desc;The Whirlwind Coronet was the ancient crown of the Fisher King who ruled the Oklahoman Revelationists in the second half of the 22nd century. After his death, it was taken up by his dynasty, the Leviathon's Sons, who continued the reign for over three hundred years.;;;;;;;;;;;;;x
mysterious_vials;Mysterious Vial;;;;;;;;;;;;;x
mysterious_vials_desc;Puzzling alchemical products that were discovered in the Hex House.;;;;;;;;;;;;;x
okla_strange_sceptre_raven_mocker;Strange Scepter;;;;;;;;;;;;;x
okla_strange_sceptre_raven_mocker_desc;A fearsome rod recovered from the Hex House. It features the face of a snarling half-human, half-raven figure.;;;;;;;;;;;;;x

#####spooklahoma######
opinion_hex_vial;Hexed;;;;;;;;;;;;;x

String_okla_culture_1;Okie;;;;;;;;;;;;;x
String_okla_culture_2;Oklahoman;;;;;;;;;;;;;x
