
liberate_panhandle;Liberate [k_panhandle.Title.GetName];;;;;;;;;;;;;x
panhandle_liberated_tooltip_1;The panhandle is liberated from Comancheria.;;;;;;;;;;;;x
liberate_panhandle_desc;The conquest of Texas by the formerly pagan Comancheria may have been blessed by the Pope, but even in the face of god Texans will defy outside rulers. All it takes is one Texan lord to unify the region and any legitimacy the Comanche in the Texas will be shattered for good.;;;;;;;;;;;;;x

ca_culture_texan_ranger_1;Ranger Outpost;;;;;;;;;;;;;x
ca_culture_texan_ranger_2;Ranger Outpost;;;;;;;;;;;;;x
ca_culture_texan_ranger_3;Ranger Outpost;;;;;;;;;;;;;x
ca_culture_texan_ranger_4;Ranger Outpost;;;;;;;;;;;;;x
ca_culture_texan_ranger_1_desc;Built along the most dangerous trade routes through a realm, Rangers act as guards for vital caravans moving through a ruler's most dangerous territory and as a source of justice in otherwise lawless land.;;;;;;;;;;;;;x

RETTYPE_CUL_TEXAS_AMERICAN;Silver Star Cavalry;;;;;;;;;;;;;x
nick_silverstar;Silverstar;;;;;;;;;;;;;x

levy_cattle_nobility;Levy The [Root.GetRangeNobilityCulturalPlural];;;;;;;;;;;;;x
levy_cattle_nobility_desc;In exchange for grazing rights across our territory the [Root.GetRangeNobilityCulturalPlural] pledge their martial service. The harsh frontier lifestyle of the [Root.GetRangeNobilityCulturalPlural] make them decisive fighters, but successfully levying them to fight takes more than just the harsh words needed to motivate landed serfs.;;;;;;;;;;;;;x

CB_CATTLE_TRIBUTARY;Extort Grazing Rights;;;;;;;;;;;;;x
WAR_NAME_CATTLE_TRIBUTARY;Cattle War;;;;;;;;;;;;;x
cattle_tributary_cb_desc;Across the plains the right to graze across the land is a powerful and important right for a sovereign to secure for his people, or to take from others. With grazing rights comes the right to levy the [Root.GetRangeNobilityCulturalPlural] that graze their herds on that land.;;;;;;;;;;;;;x

TX.50002;Blade Debt;;;;;;;;;;;;;x
EVTDESC_TX.50002_generic;A herald has arrived from the court of [From.GetBestName] bearing a War Flag. They announce that [From.GetTitledName] is levying [From.primary_title.GetFullBaseName]'s [From.GetRangeNobilityCulturalPlural] and that all able bodied [Root.GetRangeNobilityCulturalPlural] of our range are to answer the call.;;;;;;;;;;;;;x

GetRangeNobilityCulturalSingular_Ranger;Steel Ranger;;;;;;;;;;;;;x
GetRangeNobilityCulturalSingular_Vaquero;Pact Vaquero;;;;;;;;;;;;;x
GetRangeNobilityCulturalSingular_Ronin;Range Ronin;;;;;;;;;;;;;x
GetRangeNobilityCulturalSingular_Fianna;Cattle Fian;;;;;;;;;;;;;x
GetRangeNobilityCulturalSingular_Wolves;Prairie Wolf;;;;;;;;;;;;;x
GetRangeNobilityCulturalSingular_Squires;Frontier Squire;;;;;;;;;;;;;x
GetRangeNobilityCulturalSingular_Druzhina;Frontier druzhinniki;;;;;;;;;;;;;x
GetRangeNobilityCulturalSingular_Generic;Range Noble;;;;;;;;;;;;;x

GetRangeNobilityCulturalPlural_Ranger;Steel Rangers;;;;;;;;;;;;;x
GetRangeNobilityCulturalPlural_Vaquero;Pact Vaqueros;;;;;;;;;;;;;x
GetRangeNobilityCulturalPlural_Ronin;Range Ronin;;;;;;;;;;;;;x
GetRangeNobilityCulturalPlural_Fianna;Cattle Fianna;;;;;;;;;;;;;x
GetRangeNobilityCulturalPlural_Wolves;Prairie Wolves;;;;;;;;;;;;;x
GetRangeNobilityCulturalPlural_Squires;Frontier Squires;;;;;;;;;;;;;x
GetRangeNobilityCulturalPlural_Druzhina;Frontier Druzhina;;;;;;;;;;;;;x
GetRangeNobilityCulturalPlural_Generic;Range Nobles;;;;;;;;;;;;;x

gov_open_range_feudalism;Open Range Feudalism;;;;;;;;;;;;;x
