#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

mushers;Mushers;;;;;;;;;;;;;x
mushers_offensive;Mushers Attack;;;;;;;;;;;;;x
mushers_defensive;Mushers Defence;;;;;;;;;;;;;x
mushers_morale;Mushers Morale;;;;;;;;;;;;;x
mushers_modifier;Combat Modifier boost to Mushers Troops: $PERC$;;;;;;;;;;;;;x
cowboys;Cowboys;;;;;;;;;;;;;x
cowboys_offensive;Cowboys Attack;;;;;;;;;;;;;x
cowboys_defensive;Cowboys Defence;;;;;;;;;;;;;x
cowboys_morale;Cowboys Morale;;;;;;;;;;;;;x
cowboys_modifier;Combat Modifier boost to Cowboys Troops: $PERC$;;;;;;;;;;;;;x
