
form_tex_k_yellowrose;Form the Kingdom of [k_yellowrose.Title.GetName];;;;;;;;;;;;;x
form_tex_k_yellowrose_desc;The south of Texas while not often united by a kingdom has an identity both distinct from and bridging the greater kingdoms of [k_old_star.Title.GetName] and [k_rio_grande.Title.GetName]. Centered on the Grand Town of San Antonio, or as the Texans know it San Antone, its access to both the rio grande and the port of corpus makes it a wealthy if not as developed region.;;;;;;;;;;;;;x
form_tex_k_silvercrown;Form the Kingdom of [k_silvercrown.Title.GetName];;;;;;;;;;;;;x
form_tex_k_silvercrown_desc;Lying at the heart of [k_old_star.Title.GetName], the people of [k_silvercrown.Title.GetName] consider themselves as the heart of Texas itself. The Grand Town of Austin has served as a seat of power in texas since before the ____ and after under the reign of the High Queen. For any that would reign over Texas and its people their journey must end or begin at this ancient seat of power.;;;;;;;;;;;;;x
form_tex_k_star_coast;Form the Kingdom of [k_star_coast.Title.GetName];;;;;;;;;;;;;x
form_tex_k_star_coast_desc;Lying along the South East of [k_old_star.Title.GetName], the term [k_star_coast.Title.GetName] arose to distinguish it from the greater Gulf Coast region. Distinct both in diet and in ecology the coatal region of Texas derives great prosperity from the sea, and that prosperity is jealously fought over by the two Grand Towns of Houston and Galveston.;;;;;;;;;;;;;x
form_tex_k_texarkana;Form the Kingdom of [k_texarkana.Title.GetName];;;;;;;;;;;;;x
form_tex_k_texarkana_desc;The kingdom of Texarkana is an ancient titan of east texas that shares a history of frustration and tragedy that matches that of the high kingdom itself. The first kingdom reigned for nearly a century and met its end as the last conquest of the first high queen, and their last king was defeated at the hands of the king of yellowrose Aaron the Kind. Though often the foes of would be high kings,  between those two rulers they have just as often been candidates in their own right and their legacy is respected.;;;;;;;;;;;;;x
form_tex_k_highlands;Form the Kingdom of [k_highlands.Title.GetName];;;;;;;;;;;;;x
form_tex_k_highlands_desc;The Highlands region of Texas stradles the massive llano estacado, the edge of the staked plains demarcating its eastern edge and its western extent contested with Newexican clans. The Highlands once the birthplace of the High Queen is now dominated by catholic rulers with americanism and its last unionist clan executed by the texan duke if Amarillo as they attempted to flee south east ater the defeat of the atomocist new mexican warlords that they had joined.;;;;;;;;;;;;;x
form_tex_k_westex;Form the Kingdom of [k_westex.Title.GetName];;;;;;;;;;;;;x
form_tex_k_westex_desc;Laying in the far west of Texas, the region of Westex often overlaps with the neighboring regions of Highlands and Yellowrose. Its only uncontroversial area is also it's heart, El Paso, and it often extends to include Midland. At its greatest  extent under the Western Protectorate Westex came to include Lubbock and all of Middle Rio Grande.;;;;;;;;;;;;;x
form_e_texas;Hold the Election For High King;;;;;;;;;;;;;x
form_e_texas_desc;Being a King of the Starfolk, assembling the first six banners, and securing the grand assemblyground of Dallas. Any Texan who could do these three things would have an entirely undeniable right to restore the Assembly of Rangers and be elected High King.;;;;;;;;;;;;;x

form_utep_banner;Restore the Banner of Yutep;;;;;;;;;;;;;x
form_utep_banner_desc;The Banner of Yutep was the third Banner sworn to support the first High Queen. As his oath of allegiance to her crown he promised to defend the knowledge gathered in the Dragon's Hall. Even after the New Mexican invasion of West Texas, and in part because of it some of that knowledge still remains, and consequently the Oath can be sworn again and the banner re-raised.;;;;;;;;;;;;;x



HOLD_TEXAN_KINGDOM_TITULAR;Hold one of the titular Starfolk Kingdoms.;;;;;;;;;;;;;x
CONTROL_AIRMEN;You, a vassal, or a tributary hold the Banner of the Airmen.;;;;;;;;;;;;;x
CONTROL_AGGIES;You, a vassal, or a tributary hold the Banner of the Aggies.;;;;;;;;;;;;;x
CONTROL_LONGHORNS;You, a vassal, or a tributary hold the Banner of the Longhorns.;;;;;;;;;;;;;x
CONTROL_FIRST_CAV;You, a vassal, or a tributary hold the Banner of the First Cav.;;;;;;;;;;;;;x
CONTROL_MINERS;You, a vassal, or a tributary hold the Banner of the Yutep.;;;;;;;;;;;;;x
CONTROL_RED_RAIDER;You, a vassal, or a tributary hold the Banner of the Red Raider.;;;;;;;;;;;;;x

BANNERLORD;Bannerlord;;;;;;;;;;;;;x
BANNERLADY;Bannerlady;;;;;;;;;;;;;x
BANNER_RANGER;Banner Ranger;;;;;;;;;;;;;x
BANNER_HOLDER;Banner Holder;;;;;;;;;;;;;x
BANNER_MASTER;Banner Master;;;;;;;;;;;;;x
BANNER_MISTRESS;Banner Mistress;;;;;;;;;;;;;x
BANNER_CAPTAIN;Bannercaptain;;;;;;;;;;;;;x

HIGH_KING;High King;;;;;;;;;;;;;x
HIGH_QUEEN;High Queen;;;;;;;;;;;;;x
HIGH_KING_FOA;Your Highness;;;;;;;;;;;;;x
TEX_TITLE_PREFIX;Grand Kingdom of;;;;;;;;;;;;;x
